Currency,concatenate,ex rate to use 2019
EUR,EUR2019,1
AED,AED2019,0.24222
AOA,AOA2019,0.002626
ARS,ARS2019,0.017691
AUD,AUD2019,0.617868
BGN,BGN2019,0.511294
BRL,BRL2019,0.224699
CAD,CAD2019,0.669575
CHF,CHF2019,0.900866
CLP,CLP2019,0.001283
CNY,CNY2019,0.128171
CZK,CZK2019,0.038824
DKK,DKK2019,0.134032
DZD,DZD2019,0.007478
EGP,EGP2019,0.05267
GBP,GBP2019,1.121764
HKD,HKD2019,0.113487
HRK,HRK2019,0.134973
HUF,HUF2019,0.003083
IDR,IDR2019,0.000062
ILS,ILS2019,0.249486
INR,INR2019,0.012561
JPY,JPY2019,0.008234
KES,KES2019,0.008731
KWD,KWD2019,2.927835
KZT,KZT2019,0.002311
LBP,LBP2019,0
LKR,LKR2019,0.005006
LTL,LTL2019,0
MAD,MAD2019,0.092754
MNT,MNT2019,0.000337
MXN,MXN2019,0.045566
MYR,MYR2019,0.214165
NGN,NGN2019,0.002685
NOK,NOK2019,0.101624
NZD,NZD2019,0.586308
OMR,OMR2019,2.310507
PEN,PEN2019,0.266053
PHP,PHP2019,0.017036
PKR,PKR2019,0.005921
PLN,PLN2019,0.231428
QAR,QAR2019,0.243841
RON,RON2019,0.210692
RSD,RSD2019,0.008474
RUB,RUB2019,0.01356
SAR,SAR2019,0.237225
SEK,SEK2019,0.094215
SGD,SGD2019,0.649385
THB,THB2019,0.028579
TND,TND2019,0.302737
TRL,TRL2019,0.15467
TWD,TWD2019,0.028602
UAH,UAH2019,0.034191
UGX,UGX2019,0.000239
USD,USD2019,0.889802
UZS,UZS2019,0.000102
VEB,VEB2019,0
ZAR,ZAR2019,0.06071
XOF,XOF2019,0.001524
XAF,XAF2019,0.001526
COP,COP2019,0.511293759
IRR,IRR2019,0.000270318
KRW,KRW2019,0.000062349
ROL,ROL2019,0.000031614
CDF,CDF2019,0.000757033
VND,VND2019,0.000021069
BYN,BYN2019,0.000793
VES,VES2019,0.000038379
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
